"UACE10","GEOID10","NAME10","state","ALAND10","report_year.x","report_year.y","agency_voms","mode_voms","service_area_sq_miles","service_area_population","report_year","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"16561","16561","Chino Valley, AZ","AZ",32229854,2023,2023,4,4,0,0,2023,0,0,0,1,0,0,0,1,0,0,635191,94.396,0,0,2.1676,0
"16696","16696","Chowchilla, CA","CA",11686277,2023,2023,2,2,0,0,2023,0,0,0,0,1,0,0,1,0,25827,518952,253.1473,0,0,6.2156,0
"16885","16885","Cincinnati, OH--KY--IN","KY",2039153240,2023,2023,116,90,267,278653,2023,5,0,0,4,6,1,0,8,3,19978138,196851930,1571.15,88997,14310,121.9286,85681214
"16885","16885","Cincinnati, OH--KY--IN","OH",2039153240,2023,2023,292,252,470,744901,2023,19,33.3333333333333,33.3333333333333,4,6,1,0,8,3,19978138,196851930,1571.15,88997,14310,121.9286,85681214
"16912","16912","Circleville, OH","OH",19009070,2023,2023,9,8,0,0,2023,0,0,0,1,1,0,0,2,0,5968,589177,140.4358,0,0,8.5756,0
"17047","17047","Clanton, AL","AL",17294594,2023,2023,8,8,0,0,2023,0,0,0,0,1,0,0,1,0,13729,354352,42.5188,0,0,1.3766,0
"17236","17236","Clarksburg, WV","WV",99740663,2023,2023,18,12,0,0,2023,1,0,0,2,2,0,0,2,0,74961,3015314,111.4344,0,0,5.5923,0
"17263","17263","Clarksdale, MS","MS",22046071,2023,2023,21,21,0,0,2023,1,0,0,0,1,0,0,1,0,249279,1732849,76.7801,0,0,1.852,0
"17317","17317","Clarksville, TN--KY","TN",283432390,2023,2023,29,17,105,135471,2023,2,50,100,2,2,0,0,2,0,650089,8230100,181.0046,0,0,9.2314,0
"17452","17452","Clearfield, PA","PA",14571728,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17533","17533","Cleburne, TX","TX",45328121,0,0,0,0,0,0,2023,4,0,50,1,1,0,0,0,0,0,0,0,0,0,0,0
"17641","17641","Cleveland, MS","MS",21158526,2023,2023,45,45,0,0,2023,1,0,0,0,1,0,0,1,0,365979,2080081,30.9058,0,0,1.187,0
"17668","17668","Cleveland, OH","OH",2004141968,2023,2023,380,220,627,1264817,2023,154,3.8961038961039,50,7,5,3,0,10,1,32812601,310255173,2006.1766,1619611,95074,120.8047,110173286
"17722","17722","Cleveland, TN","TN",141271537,2023,2023,12,7,24,66333,0,0,0,0,1,1,0,0,2,0,26405,1246112,115.7026,0,0,5.5757,0
"17938","17938","Clinton, IA--IL","IA",42706895,2023,2023,13,7,0,0,2023,4,0,0,2,2,0,0,2,0,209308,1969607,127.5364,0,0,13.581,0
"17965","17965","Clinton, MO","MO",14107733,2023,2023,4,4,0,0,2023,1,0,0,0,1,0,0,1,0,17249,200439,40.144,0,0,3.5001,0
"17992","17992","Clinton, NC","NC",20547233,2023,2023,12,12,0,0,2023,1,0,0,0,1,0,0,1,0,42615,991007,39.3663,0,0,1.6178,0
"18208","18208","Clovis, NM","NM",58367971,2023,2023,8,8,0,0,2023,2,0,0,0,1,0,0,1,0,21579,810758,69.1537,0,0,3.3236,0
"18370","18370","Cochran, GA","GA",11975398,2023,2023,3,3,0,0,2023,0,0,0,0,1,0,0,0,1,5624,157532,70.4841,0,0,1.5374,0
