"UACE10","GEOID10","NAME10","state","ALAND10","agency_voms","mode_voms","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"17992","17992","Clinton, NC","NC",20547233,11,11,1,0,0,0,2,0,0,1,0,11708,902047,37.7473,0,0,1.4524,0
"18208","18208","Clovis, NM","NM",58367971,8,8,2,0,0,0,2,0,0,1,0,430,762667,64.9908,0,0,3.8406,0
"18370","18370","Cochran, GA","GA",11975398,3,3,0,0,0,0,2,0,0,0,1,6780,132641,62.8035,0,0,1.0791,0
"18397","18397","Cody, WY","WY",16432857,6,6,1,0,0,0,2,0,0,1,0,880,107640,22.1573,0,0,1.9592,0
"18451","18451","Coeur d'Alene, ID","ID",122415831,7,5,1,0,0,1,2,0,0,2,1,0,2514201,272.6342,0,0,11.1735,0
"18532","18532","Colby, KS","KS",7762505,2,2,0,0,0,0,2,0,0,1,0,8602,95048,22.2387,0,0,2.4626,0
"18559","18559","Colchester, CT","CT",37915927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18667","18667","Coldwater, MI","MI",29870319,13,12,1,0,100,2,2,0,0,2,0,162524,1767387,100.7467,0,0,9.1985,0
"18748","18748","College Station--Bryan, TX","TX",184914747,65,48,9,11.1111111111111,55.5555555555556,1,1,0,0,2,0,79193,6985871,141.3375,0,0,5.4382,2364170
"18856","18856","Colorado Springs, CO","CO",487015479,91,48,13,7.69230769230769,38.4615384615385,2,4,0,0,3,2,1890318,24730443,497.0132,0,0,22.5003,8854980
"18937","18937","Columbia, MO","MO",160441396,725,725,5,33.3333333333333,33.3333333333333,1,3,0,0,3,0,8089639,31264933,322.006,0,0,25.9677,1506456
"18964","18964","Columbia, SC","SC",984242315,111,58,4,0,25,2,3,0,0,0,4,2119760,28655347,2237.3351,0,0,26.9327,9187442
"19018","19018","Columbia City, IN","IN",15736002,7,7,2,0,0,0,2,0,0,1,0,0,641845,49.4983,0,0,2.2595,0
"19099","19099","Columbus, GA--AL","GA",381438379,26,18,7,85.7142857142857,100,1,1,0,0,2,0,605238,4534224,71.8962,0,0,9.9061,0
"19126","19126","Columbus, IN","IN",70790972,10,5,2,50,50,1,1,0,0,2,0,0,2041692,120.5213,0,0,8.4341,0
"19153","19153","Columbus, KS","KS",5218667,8,8,0,0,0,0,2,0,0,1,0,16822,149294,69.2137,0,0,6.7,0
"19207","19207","Columbus, NE","NE",20786007,5,5,1,0,0,0,2,0,0,1,0,11372,209605,101.9976,0,0,2.0827,0
