"ST_CASE","geometry"
10675,c(34.25661944, -87.57655556)
10676,c(33.89004444, -87.36519167)
10677,c(33.7491, -86.81368889)
10678,c(30.65509444, -87.90715278)
10679,c(34.35272222, -86.36102222)
10680,c(34.86810556, -86.9233)
10681,c(30.47277222, -87.641825)
10682,c(30.92100833, -88.12820833)
10683,c(33.67286944, -87.07588056)
10684,c(33.50513889, -86.85976944)
10685,c(31.69936389, -85.82279167)
10686,c(32.41450278, -87.05204167)
10687,c(33.51906667, -88.21330556)
10688,c(32.51544167, -85.86377222)
10689,c(32.83372778, -85.75496111)
10690,c(33.48696389, -86.8555)
10691,c(32.40551389, -87.01863056)
10692,c(30.52061667, -88.22118889)
10693,c(32.48853333, -87.42040278)
10694,c(32.42874444, -85.43871667)
10695,c(33.52393611, -86.66445833)
10696,c(32.52285833, -85.03087222)
10697,c(33.58206667, -86.70629167)
10698,c(32.60544167, -87.83381667)
10699,c(34.41344722, -87.30879167)
10700,c(33.80632222, -86.67831111)
10701,c(32.51803611, -85.53148333)
10702,c(34.98486389, -85.72789722)
10703,c(31.63736111, -87.67487778)
10704,c(32.83380556, -87.25488056)
10705,c(33.50388333, -86.86764444)
10706,c(34.53218889, -86.37239722)
10708,c(32.62665278, -85.37139167)
10709,c(33.94443889, -87.85228611)
10710,c(33.35420833, -86.84298889)
10711,c(33.51182222, -86.84918056)
10712,c(34.70351667, -86.68256944)
10713,c(34.58294722, -85.96769167)
10714,c(31.76008889, -85.89196111)
10715,c(32.71624722, -85.30409167)
10716,c(30.89019722, -88.12428333)
10717,c(33.61896389, -86.27065278)
10718,c(33.6553, -86.71224722)
10719,c(33.14895556, -86.25426667)
10720,c(34.82210278, -86.63303611)
10721,c(34.188075, -87.22025833)
10722,c(33.47560278, -86.92440278)
10723,c(32.03602778, -85.40303056)
10724,c(31.54403333, -87.16538889)
10725,c(30.68023889, -88.12717778)
10726,c(31.72639444, -87.90748056)
10727,c(33.59028333, -86.428)
10728,c(33.66827222, -86.24942222)
10729,c(33.64721667, -85.87366389)
10730,c(34.21015556, -86.85917778)
10731,c(33.00783056, -86.75892778)
10732,c(33.94914444, -87.32798889)
10733,c(31.86681389, -88.32176667)
10734,c(32.41535556, -85.24035833)
10735,c(33.94819444, -86.85355833)
10736,c(32.38956667, -86.21610278)
10738,c(31.478275, -86.94781667)
10739,c(33.79803056, -86.24221389)
10740,c(30.67360833, -88.12738333)
10741,c(31.44743056, -85.18425)
10742,c(30.66676667, -88.12754722)
10743,c(34.59825278, -86.45301111)
10744,c(31.74076944, -85.957525)
10745,c(34.00539167, -86.44565278)
10746,c(33.49079722, -86.91773333)
10747,c(33.65525, -86.59831111)
10748,c(33.20470833, -87.62948889)
10749,c(32.86014167, -87.72558611)
10750,c(32.39693889, -87.60624167)
10751,c(34.60523056, -87.13941389)
10752,c(32.43294167, -87.86509167)
